book_author,book_link,book_title,file_type_size,language,rate_interest,rate_quality,year
Michael T. Goodrich,https://tr.eg1lib.org/book/2089156/1e610b,Data Structures and Algorithms in Python,"PDF, 5.62 MB",english,0,0,2013
Gowrishankar S.,https://tr.eg1lib.org/book/3639769/44ba97,Introduction to Python Programming,"PDF, 14.11 MB",english,3.5,0,2019
Mark Lutz,https://tr.eg1lib.org/book/2159065/1a5e51,Learning Python: powerful object-oriented programming,"PDF, 14.72 MB",english,5.0,5.0,2013
Paul Barry,https://tr.eg1lib.org/book/2841722/b34f17,Head First Python  A Brain-Friendly Guide,"PDF, 87.02 MB",english,4.5,5.0,2016
Justin Seitz,https://tr.eg1lib.org/book/2475649/baf4dc,Black Hat Python: Python Programming for Hackers and Pentesters,"PDF, 3.02 MB",english,5.0,5.0,2014
Bill Karwin,https://tr.eg1lib.org/book/10982162/656d53,图灵程序设计丛书：大规模数据处理入门与实战（套装全10册 Kafka权威指南 Flink基础教程 数据科学实战 SQL反模式 SQL必知必会（第4版） Spark快速大数据分析 数据科学入门 Python数据挖掘入门与实践 Hadoop安全：大数据平台隐私保护 Hadoop数据分析）,"EPUB, 17.65 MB",chinese,5.0,5.0,2018
Al Sweigart,https://tr.eg1lib.org/book/5342891/c5ae7c,"Automate the Boring Stuff with Python, 2nd Edition","PDF, 14.20 MB",english,5.0,5.0,2019
David J. Pine,https://tr.eg1lib.org/book/3697912/d54b5b,Introduction to Python for Science and Engineering,"PDF, 5.22 MB",english,5.0,5.0,2019
Project Syntax,https://tr.eg1lib.org/book/2950584/10f8a1,Python and Hacking Made Simple: Full Beginners Bundle To Master Python & Hacking,"EPUB, 1.34 MB",english,4.0,0,2017
Eric Matthes,https://tr.eg1lib.org/book/2708675/f4a3d9,"Python Crash Course: A Hands-On, Project-Based Introduction to Programming","PDF, 5.38 MB",english,5.0,0,2015
Antonio Melé,https://tr.eg1lib.org/book/5444952/62e8ea,Django 3 By Example: Build powerful and reliable Python web applications from scratch,"PDF, 9.07 MB",english,5.0,5.0,2020
Wes McKinney,https://tr.eg1lib.org/book/5422102/5e0803,利用Python进行数据分析 原书第2版,"PDF, 16.58 MB",chinese,5.0,5.0,2018
Matt Harrison,https://tr.eg1lib.org/book/3632316/9db29c,"Learning the Pandas Library: Python Tools for Data Munging, Analysis, and Visual","PDF, 6.98 MB",english,4.0,0,2016
Jeff Simon,https://tr.eg1lib.org/book/2951868/bf3d1b,Hacking  Hacking Practical Guide for Beginners (Hacking With Python),"PDF, 10.87 MB",english,5.0,5.0,2016
Jaime Buelta,https://tr.eg1lib.org/book/5557856/e46648,"Python Automation Cookbook: 75 Python automation ideas for web scraping, data wrangling, and processing Excel, reports, emails, and more, 2nd Edition","PDF, 11.62 MB",english,3.5,1.0,2020
Pramod Singh,https://tr.eg1lib.org/book/5322235/770c72,Learn TensorFlow 2.0: Implement Machine Learning And Deep Learning Models With Python,"PDF, 6.22 MB",english,5.0,5.0,2020
Assad Patel,https://tr.eg1lib.org/book/5458211/fed892,Python 3 : 400 exercises and solutions for beginners,"PDF, 9.55 MB",english,5.0,5.0,2020
Amit Saha,https://tr.eg1lib.org/book/2604773/334f07,"Doing Math with Python: Use Programming to Explore Algebra, Statistics, Calculus, and More!","PDF, 6.54 MB",english,5.0,5.0,2015
Julien Danjou,https://tr.eg1lib.org/book/3643608/07da96,Serious Python,"PDF, 8.02 MB",english,5.0,5.0,2018
斋藤康毅,https://tr.eg1lib.org/book/5330695/51dfcf,深度学习入门：基于Python的理论与实现,"PDF, 10.74 MB",chinese,5.0,5.0,2018
Bastian Ballmann,https://tr.eg1lib.org/book/2487850/036cf0,Understanding Network Hacks: Attack and Defense with Python,"PDF, 1.95 MB",english,0,5.0,2015
José Unpingco,https://tr.eg1lib.org/book/2742020/08efc9,"Python for Probability, Statistics, and Machine Learning","PDF, 7.14 MB",english,5.0,5.0,2016
Davy Cielen,https://tr.eg1lib.org/book/2739951/aeeb06,"Introducing Data Science: Big Data, Machine Learning, and more, using Python tools","PDF, 14.59 MB",english,5.0,5.0,2016
Dylan Mach,https://tr.eg1lib.org/book/5573792/f74b63,"COMPUTER PROGRAMMING FOR BEGINNERS: 4 Books in 1. LINUX COMMAND-LINE + PYTHON Programming + NETWORKING + HACKING with KALI LINUX. Cybersecurity, Wireless, LTE, Networks, and Penetration Testing","PDF, 3.79 MB",english,5.0,5.0,2020
William Gray,https://tr.eg1lib.org/book/5002206/718dbb,"Learn Python Programming: Write code from scratch in a clear & concise way, with a complete basic course. From beginners to intermediate, an hands-on project with examples, to follow step by step","EPUB, 576 KB",english,5.0,5.0,2019
Ankur A Patel,https://tr.eg1lib.org/book/4984764/4782a3,Hands-On Unsupervised Learning Using Python: How to Build Applied Machine Learning Solutions from Unlabeled Data,"EPUB, 4.59 MB",english,0,0,2019
Dane Hillard,https://tr.eg1lib.org/book/5326898/bfff35,Practices of the Python Pro,"PDF, 4.09 MB",english,5.0,5.0,2019
Fabio Nelli,https://tr.eg1lib.org/book/3599387/ace85c,"Python Data Analytics: With Pandas, NumPy, and Matplotlib","PDF, 13.95 MB",english,4.5,0,2018
Luciano Ramalho,https://tr.eg1lib.org/book/5007162/fac508,"流畅的Python = Fluent Python: clear, concise, and effective programming","PDF, 14.53 MB",chinese,5.0,5.0,2017
Al,https://tr.eg1lib.org/book/5065960/84cde5,Python编程快速上手—让繁琐工作自动化(Automate the boring stuff with python),"PDF, 13.88 MB",chinese,5.0,5.0,2016
Akshay Kulkarni,https://tr.eg1lib.org/book/3681492/07d64c,Natural Language Processing Recipes: Unlocking Text Data with Machine Learning and Deep Learning using Python,"PDF, 3.82 MB",english,5.0,0,2019
Al Sweigart,https://tr.eg1lib.org/book/3659314/8a91b4,Cracking Codes with Python: An Introduction to Building and Breaking Ciphers,"PDF, 7.62 MB",english,5.0,5.0,2018
DK,https://tr.eg1lib.org/book/3384786/e5172e,Coding Projects in Python,"PDF, 21.87 MB",english,5.0,5.0,2017
Pratap Dangeti,https://tr.eg1lib.org/book/3555108/d84346,"Statistics for Machine Learning: Techniques for exploring supervised, unsupervised, and reinforcement learning models with Python and R","PDF, 16.45 MB",english,0,0,2017
Rudolph Russell,https://tr.eg1lib.org/book/3525633/869f21,Machine Learning: Step-by-Step Guide To Implement Machine Learning Algorithms with Python,"PDF, 1.58 MB",english,5.0,5.0,2018
